waktu,username,title text,label
2022-06-06 03:00:53+00:00,andfckdup,AFM yang terlibat pemukulan terhadap JF akan melaporkan balik JF (korban). AFM adalah Ketua Pemuda Pejuàng Bravo Lima dan relawan pemenangan Jokowi-Ma'ruf Amin. Sementara JF adalah anak seorang politisi dari PDIP,true
2022-06-06 03:00:47+00:00,ryolandafit,CEO Tesla Elon Musk mengumumkan akan memangkas karyawannya sebanyak 10%. Alasan dari keputusan itu bahwa Musk memiliki perasaan buruk pada ekonomi perusahaannya,true
2022-06-06 03:00:46+00:00,seleb_berita,Setelah menggelar MotoGP di Sirkuit Mandalika Indonesia akan menggelar Balap Mobil GT World Challange Asia,true
2022-06-06 03:00:36+00:00,consulting_sf,Pemerintah Tindak Lanjuti Hasil Leaders Retreat Indonesia-Singapura 2022,true
2022-06-06 03:00:34+00:00,tvOneNews,Ridwan Kamil Ungkap Sosok Eril yang Dekat dengan Anak Yatim dan Duafa,true
2022-06-06 03:00:20+00:00,jawapos,Pelaku Penurunan Bendera Merah Putih Diminta Diproses Hukum,true
2022-06-06 03:00:15+00:00,ryolandafit,Gara-Gara Acungkan Jari Tengah Justin Frederick Bonyok Dipukuli di Jalan Tol Dalam Kota,true
2022-06-06 02:59:54+00:00,ANTARABengkulu,Anggota DPR pertanyakan alasan kenaikan harga tiket Candi Borobudur jadi Rp750 ribu,true
2022-06-06 02:59:37+00:00,Beritadotnews,Sidak Takjil di 6 Pasar Tradisional Dinas Kesehatan Pastikan Aman Pengawet,true
2022-06-06 02:59:35+00:00,SayfulalFatih,Total Pengunjung Formula E 60 Ribu Orang,true
2022-06-06 02:59:17+00:00,detikoto,Pelat Hitam Diganti Jadi Putih Pelat Merah dan Kuning Tetap,true
2022-06-06 02:59:10+00:00,AAdhayni,Ustadz Adi Hidayat (UAH) menyebut Eril anak sulung Ridwan Kamil sudah merenungkan tentang air. Eril sangat ingin tahu Arsy Allah SWT yang berada di atas air,true
2022-06-06 02:58:54+00:00,ANTARABengkulu,CEO Yandex Arkady Volozh mundur,true
2022-06-06 02:58:31+00:00,fans_ayanami,Pengamat politik menilai ajang Formula E menunjukkan Anies telah bekerja keras di DKI,true
2022-06-06 02:58:15+00:00,malhamahkubro,Penambang mentransfer sekitar 195.663 koin ke bursa kripto sepanjang bulan Mei,true
2022-06-06 02:58:08+00:00,ryolandafit,Terpopuler Luhut mengumumkan pemerintah akan menaikkan harga tiket masuk Candi Borobudur menjadi Rp 750 ribu untuk turis lokal dan USD 100 untuk turis mancanegara,true
2022-06-06 02:57:50+00:00,iskandarhelmi47,Raih Juara I Karya Ilmiah Taruna STTD  Ciptakan Listrik Dengan Metode Piezoelectric di Bandara,true
2022-06-06 02:57:24+00:00,ryolandafit,Putra Ridwan Kamil Wafat Dubes Palestina Sampaikan Belasungkawa,true
2022-06-06 02:57:17+00:00,fxstreetnewsid,Berita Terbaru Virus Corona: Beijing Akan Secara Bertahap Mencabut Pembatasan Pekan Ini,true
2022-06-06 02:56:51+00:00,suneast99,Formula E Jakarta tuntas digelar di Sirkuit Ancol. Gubernur DKI Jakarta Anies Baswedan mempersembahkan gelaran internasional ini untuk Ibu Pertiwi,true
2022-06-06 02:55:46+00:00,ryolandafit,Gage di 26 titik di DKI Jakarta akan diuji coba besok. Namun tilang di 13 lokasi baru akan diterapkan pada 13 Juni 2022,true
2022-06-06 02:55:11+00:00,Beritadotnews,Dinas Kesehatan Makassar Sidak Takjil di Pasar Tradisional antisipasi pengawet,true
2022-06-06 02:54:53+00:00,republikaonline,Spanyol dua kali meraih hasil imbang pada laga Gru A2 UEFA Nations League,true
2022-06-06 02:54:29+00:00,kumparan,Direktorat Jenderal Pajak atau Ditjen Pajak Kementerian Keuangan memastikan akan mengintegrasikan Nomor NPWP dengan Nomor Induk Kependudukan (NIK) yang akan diimplementasikan pada tahun 2023,true
2022-06-06 02:53:38+00:00,jawapos,Cuaca Ekstrem di Kendal Puluhan Rumah Rusak Pohon Tumbang Tower Radio Roboh,true
2022-06-06 02:53:22+00:00,SorenCSorensen,Pusat Pengendalian Operasi BNPB melaporkan Kebakaran hutan dan lahan (karhutla) di wilayah Kabupaten Kampar Provinsi Riau telah padam Jumat (3/6). Peristiwa itu terjadi pada Kamis (2/6) sekitar pukul 18.55 WIB,true
2022-06-06 02:52:33+00:00,KPU_BONDOWOSO,Sekretaris KPU Bondowoso mulai terapkan manager meeting rutin mingguan buat sekretaris dan kasubbag di Lingkungan Sekretariat KPU Bondowoso Senin (06/06/2022),true
2022-06-06 02:52:09+00:00,ryolandafit,Rumah kelahiran Bung Karno di Jalan Pandean Gang IV No 40 Surabaya bakal dijadikan museum. Rencana ini disampaikan oleh Wali Kota Surabaya Eri Cahyadi,true
2022-06-06 02:51:51+00:00,EMaahardhika,Terpopuler Kabar kemunculan harimau Jawa di Sukabumi disambut bahagia pemerintah setempat. Sebab harimau itu sudah dinyatakan punah beberapa tahun lalu,true
2022-06-06 02:51:20+00:00,ryolandafit,Sekjen PDIP membeberkan kriteria sosok capres 2024 versi PDIP. Menurut Hasto capres harus berkeliling Indonesia untuk mengenali masalah-masalah rakyat,true
2022-06-06 02:51:13+00:00,lampungpost_,Pemerintah Provinsi Lampung mengharapkan adanya program magang yang dibuka melalui Dinas Tenaga Kerja Provinsi Lampung yang bekerja sama dengan perusahaan di Lampung dapat meredam angka pengangguran,true
2022-06-06 02:45:44+00:00,ryolandafit,Terjadi penyebaran wabah PMK di Kabupaten Sampang. Jika sebelumnya dua kecamatan kini bertambah menjadi enam kecamatan,true
2022-06-06 03:27:37+00:00,Beritasatu,Wisma Atlet RSDC Resmi Ditutup Awal Bulan Juli 2022. Kasus Covid-19 Selesai,false
2022-01-04 09:28:17+00:00,antaramakassar,West Ham jalin komunikasi dengan penyerang Gabriel Barbosa dari Flamengo,true
2022-01-04 09:28:03+00:00,tvOneNews,Ratusan Paket Sembako dan Perabot Rumah Tangga untuk Korban Banjir Akibat Luapan Bengawan Njero,true
2022-01-04 09:27:58+00:00,ExcelJosaphine,Erick Thohir menghadiri istighosah di Pondok Pesantren Amanatul Ummah,true
2022-01-04 09:27:41+00:00,antaramakassar,Belasan warga Makassar rugi Rp10 miliar tertipu investasi bodong Tambang Digital,true
2022-01-04 09:27:32+00:00,republikaonline,Saat ini revitalisasi tugu Pamulang sudah mencapai 98 persen tinggal bagian atap,true
2022-01-04 09:27:16+00:00,MJtuhMasJoko,Bahar Smith Ditetapkan Jadi Tersangka Kuasa Hukum Kami Menduga Ada Sponsor Dibelakang Semua Ini,true
2022-01-04 09:27:15+00:00,Subhan76814326,Eijkman Dilebur ke BRIN PKS Khawatir Penelitian Diintervensi Politik,true
2022-01-04 09:27:14+00:00,voidotid,Nasib malang dialami seorang wanita anggota pasukan melati di Kota Medan Surtinem Motor Honda Beat miliknya raib dicuri saat sedang membersihkan jalanan di Jalan Agus Salim Kota Medan,true
2022-01-04 09:27:09+00:00,bobotohchelseas,Kasus Denny Siregar di Polda Jabar sudah berjalan lebih dari satu tahun,true
2022-01-04 09:26:16+00:00,Anak_Senja90,Kementerian Kesehatan menyatakan kasus positif Covid 19 varian omicron di Indonesia sudah lebih dari 150,true
2022-01-04 09:26:11+00:00,republikaonline,Dalam beberapa tahun terakhir laporan kejahatan kebencian anti Muslim meningkat,true
2022-01-04 09:25:41+00:00,detikcom,DPO teroris MIT Poso Sulteng Ahmad Panjang tewas ditembak Satgas Madago Raya Jenazahnya akan dimakamkan di area pemakaman yang sama dengan makam Ali Kalora,true
2022-01-04 09:25:04+00:00,Riau1Official,ASN Beragama Islam di Lingkungan Pemprov Sumbar Wajib Absen Subuh,true
2022-01-04 09:25:00+00:00,yusufsimeon,Anies Baswedan bernostalgia dengan makan di sebuah warteg di kawasan Ancol Jakarta Utara Anies makan di warteg yang fotonya sempat jadi meme,true
2022-01-04 09:24:57+00:00,jabarekspres,Nashrudin Azis Bidik Kursi DPR RI Usai jadi Wali Kota Cirebon,true
2022-01-04 09:24:37+00:00,antaranews,Gaga Muhammad dituntut hukuman penjara 4 tahun 6 bulan dan denda sebesar Rp 10 juta JPU juga meminta SIM A milik Gaga untuk dikembalikan,true
2022-01-04 09:24:22+00:00,user_ga_ramah,Sehari Setelah Divaksin Siswa MI di Magetan Meninggal Dunia,true
2022-01-04 09:24:20+00:00,GOAL_ID,Irfan Jauhari antusias mencicipi Liga 1 dengan membela klub sebesar Persija Jakarta Persija Liga1,true
2022-01-04 09:24:16+00:00,naadsiy,Mahasiswa UGM Raih Juara I Lomba Debat Bahasa Nasional,true
2022-01-04 09:23:59+00:00,rhawinng,IPW menilai Polda Jabar perlu mencopot penyidik kasus kasus yang mangkrak,true
2022-01-04 09:23:54+00:00,rizkifrifai,Kinerja kepolisian dalam menangani kasus dugaan ujaran kebencian disorot publik,true
2022-01-04 09:23:04+00:00,KATADATAcoid,Kasus Covid 19 varian Omicron mencetak rekor di AS Ribuan sekolah di Negeri Paman Sam itu pun menunda pembukaan pendidikan tatap muka yang dijadwalkan dimulai pada minggu ini,true
2022-01-04 09:22:56+00:00,republikaonline,Dalam reforma agraria pemerintah baru melampaui target dalam hal legalisasi aset,true
2022-01-04 09:22:55+00:00,kuasakatacom,IDI Usul Jepara Bangun RSJ Bupati Andi Minta DKK Lakukan Kajian,true
2022-01-04 09:22:03+00:00,antarabiz,SKK Migas yakin Rokan kembali jadi produsen minyak terbesar di 2022,true
2022-01-04 09:22:00+00:00,ANTARABengkulu,Pemimpin Hong Kong bantah kebebasan pers di ambang kepunahan,true
2022-01-04 09:22:00+00:00,antaramakassar,Kelompok milenial mengapresiasi Polri cepat atasi pelaku intoleran,true
2022-01-04 09:21:47+00:00,asjeplak,Agen Tegaskan Christian Eriksen Akan Membuka Suara Terkait Kelanjutan Kariernya,true
2022-01-04 09:21:42+00:00,otodriver,Mercedes Benz Vision EQXX Melakukan Debutnya Setelah Batal Melantai Di CES 2022,true
2022-01-04 09:21:30+00:00,ANTARABengkulu,Emma Watson suarakan dukungan untuk Palestina,true
2022-01-04 09:21:00+00:00,antaranews,Keempat tersangka baru yang dibekuk oleh polisi diduga turut berperan menggunakan aplikasi perpesanan dan kemudian memerkosa korban,true
2022-01-04 09:20:53+00:00,MediaCenter_TMG,Jumlah Kejadian Kebakaran di Temanggung Turun Selama Pandemi,true
2022-01-04 09:20:51+00:00,goyodbod,Vaksinasi booster covid 19 di Indonesia akan dimulai pada12 Januari 2022,true
2022-01-04 09:20:47+00:00,fikaosman,Indonesia mencatat sebanyak 299 kasus baru COVID 19 Selasa 4 Januari 2022 DKI menyumbang kasus terbanyak dengan jumlah 115,true
2022-01-04 09:20:46+00:00,asjeplak,Kemendikbudristek Bongkar Dampak Negatif Pandemi pada Dunia Pendidikan,true
2022-01-04 09:20:42+00:00,KominfoSidrap,Kebakaran menghanguskan satu unit rumah di Lingkungan II Kelurahan Salomallori Kecamatan Duapitue Selasa 4 Januari 2022 sekitar Pukul 3 wita Rumah milik pasangan suami istri Aksan Tahir dan Asriani,true
2022-01-04 09:20:36+00:00,antaramakassar,Bek Chelsea Antonio Rudiger jadi incaran klub besar Eropa,true
2022-01-04 09:20:06+00:00,tvOneNews,Dokter yang Mengaku Bisa Netralkan Darah Pecandu Narkoba di Cianjur Pasang Tarif Rp 10 Juta Sekali Suntik,true
2022-01-04 09:19:55+00:00,antaramakassar,Lima negara sepakati perjanjian antinuklir China dorong Indonesia bersuara,true
2022-01-04 09:19:43+00:00,voidotid,Dalam kasus Bahar penyidik Polda Jabar hanya membutuhkan waktu 17 hari saja mulai dari pelaporan pemeriksaan hingga penahanan Sedangkan laporan ke Denny Siregar Dkk yang bertahun-tahun tidak pernah diproses,true
2022-01-04 09:19:42+00:00,Barokahaamiin,Pertamina Hulu Rokan akan mengebor dua sumur eksplorasi untuk memburu cadangan migas nonkonvensional di Blok Rokan,true
2022-01-04 09:19:08+00:00,antaramakassar,Kelompok radikal dan teroris berkarakter antikearifan lokal keagamaan,true
2022-01-04 09:19:02+00:00,Nurizal,Eks CEO Bukalapak Rachmat Kaimuddin resmi bergabung dengan Kemenko Kemaritiman dan Investasi pimpinan Luhut Binsar Pandjaitan,true
2022-01-04 09:17:53+00:00,republikaonline,Disdik DKI perlu mengakomodir orang tua yang masih belum izinkan anaknya untuk PTM,true
2022-01-04 09:17:46+00:00,republikaonline,Setiap Muslim harus segera bertaubat setelah melakukan dosa,true
2022-01-04 09:17:33+00:00,inewsdotid,24 Kabupaten Kota di Jatim Gelar PTM 100 Persen Gubernur Khofifah Wajib Prokes Ketat PTM khofifah,true
2022-01-04 09:16:36+00:00,detikcom,Israel melaporkan temuan kasus infeksi gabungan virus influenza dengan virus Corona Flurona Disorot Kementerian Kesehatan Israel ini yang dikhawatirkan,true
2022-01-04 09:16:05+00:00,republikaonline,Apindo menilai SK Gubernur tidak memiliki dasar hukum yang jelas,true
2022-01-04 09:15:33+00:00,sumbawanews,Seorang Buron Anggota MIT Poso Tewas Dalam Kontak Tembak,true
2022-01-04 09:15:33+00:00,matakitaco,Ketua Bapera Kota Gorontalo Mempertanyakan Kapan Di P21 Persoalan Hukum Bagi Tersangka AD,true
2022-01-04 09:14:51+00:00,clarayusna,Mahfud Md Tegaskan Pemerintah Serius Tuntaskan Kasus HAM Berat di RI,true
2021-11-25 10:22:35+00:00,fahadkanan, CEO Formula E Alberto Longgo menampik bahwa Jakarta membayar lebih tinggi dari kota ternama lainnya di dunia agar dapat menghelat ajang balap mobil listrik ini Bahkan ia memuji tim Indonesia yg telah bernegosiasi dengan gigih,true
2021-11-25 10:22:30+00:00,budiatnogr,Terkait isu pemilihan venue Formula E yang akan ditentukan oleh Presiden Kami tegaskan semuanya merupakan tanggung jawab pemerintah daerah dan penyelenggara Dinamika penyelenggaraan adalah sepenuhnya domain pembuat kebijakan di tingkat daerah,true
2021-11-25 10:22:24+00:00,detikhealth,Tidak perlu konsumsi obat ada cara alami untuk menurunkan gula darah Mulai dari olahraga teratur hingga minum air yang cukup,true
2021-11-25 10:22:24+00:00,mayafasqual,Tito menyoroti realisasi belanja daerah yang masih di bawah 80 persen menjelang akhir tahun Berdasarkan data yang ditampilkan Tito realisasi belanja Pemprov Sumut masih Rp 9.51 triliun dari total anggaran Rp13.9 triliun,true
2021-11-25 10:22:14+00:00,naj_2709,Mendagri Tito Minta Pemda Percepat Realisasi Belanja APBD,true
2021-11-25 10:22:09+00:00,87kaisar,PD Minta Surat Terbuka Korban Pelecehan Seksual di Kampus Ditanggapi Serius,true
2021-11-25 10:22:08+00:00,kellamotto,Ketua DPR RI Puan Maharani menyatakan kesiapan Indonesia untuk menjadi Tuan rumah penyelenggaraan IPU General Assembly kepada seluruh Peserta 5WCSP di Wina Austria,true
2021-11-25 10:21:58+00:00,alika_syfr,Motif Istri Ganas Keroyok Anak di Malang Korban Perkosaan Suaminya,true
2021-11-25 10:21:55+00:00,87kaisar,Gugatan di PTUN Ditolak Kubu Moeldoko Buka Peluang Banding,true
2021-11-25 10:21:48+00:00,tkempur,Apresiasi Pemda yang APBDnya Tinggi Mendagri Ini Luar Biasa,true
2021-11-25 10:21:43+00:00,acehprovgoid,bupati aceh barat ajak antara digital media bangkitkan semangat berinvestasi di aceh,true
2021-11-25 10:21:42+00:00,acehprovgoid,Pemkab Nagan Raya Selenggarakan Training Of Trainer E Kinerja,true
2021-11-25 10:21:41+00:00,acehprovgoid,Raih Juara I Dalam Ajang Pentas PAI Tingkat Provinsi Aceh Bupati Berikan Bonus Kepada Raihana Shafa Thahira,true
2021-11-25 10:21:40+00:00,acehprovgoid,aminullah banda aceh dan oki bersinergi majukan sektor pariwisata,true
2021-11-25 10:21:32+00:00,dhesmond4,demo buruh patung kuda memanas massa nyalakan flare,true
2021-11-25 10:21:32+00:00,republikaonline,Bentrokan ormas karena rebutan limbah ekonomis di salah satu pabrik di Karawang,true
2021-11-25 10:21:30+00:00,87kaisar,apresiasi ptun tolak gugatan kubu moeldoko vs menkumham objektif,true
2021-11-25 10:21:20+00:00,sephet,MK Perintahkan Pemerintah dan DPR Perbaiki UU Cipta Kerja,true
2021-11-25 10:21:18+00:00,sartonohutomo,Bupati Mamteng RHP berikan bantuan pembangunan Masjid Arafah RP 100 juta Papua,true
2021-11-25 10:21:14+00:00,sinaronline,Izham berkata pembekal dan peniaga sebenarnya tiada pilihan melainkan terpaksa menaikkan harga berikutan kos bahan import yang tinggi,true
2021-11-25 10:21:13+00:00,mbalei23, Musik yang terlalu kencang pada acara pernikahan menyebabkan 63 ekor ayam mati mendadak Ayam tersebut mati karena serangan jantung,true
2021-11-25 10:21:07+00:00,detikcom,Kisah inspiratif datang dari seorang guru bernama Asdilita Guru penyandang disabilitas ini tak pernah menyerah untuk mengajar di MTS Negeri 1 Andalan,true
2021-11-25 10:21:07+00:00,detikcom,Hujan deras mengguyur Lamongan mengakibatkan jalan sepanjang 1 Km tidak bisa dilalui Itu lantaran tertutup longsor tanggul sawah atau tegalan di Lamongan,true
2021-11-25 10:20:44+00:00,antaranews,Anies mengatakan lokasi Formula E nantinya ditentukan oleh tim dari FEO IMI dan Jakpro,true
2021-11-25 10:20:43+00:00,andracadabra1, Mendagri Realisasi APBD Pemprov Sumut Di Bawah 70 Persen,true
2021-11-25 10:20:43+00:00,srpsr2, stafsus setneg semua terkait formula tanggung jawab pemprov dki,true
2021-11-25 10:20:42+00:00,voidotid,Menteri Ketenagakerjaan Ida Fauziyah memastikan adanya percepatan penyaluran Bantuan Subsidi Upah BSU Tahun 2021 kepada pekerja Hingga saat ini bantuan sudah tersalurkan kepada 7163043 orang,true
2021-11-25 10:20:32+00:00,vivacoid,bandung raya terdampak siklon tropis paddy,true
2021-11-25 10:20:15+00:00,detikcom,Pihak DPRD belum mengetahui dengan pasti soal laporan ke Kejaksaan Tinggi Kejati Sulawesi Selatan Sulsel,true
2021-11-25 10:20:14+00:00,wurdianto, jamie carragher ikut jengkel melihat trio mnm tampil malas malasan,true
2021-11-25 10:20:12+00:00,fasyam7,Sejak Awal FPKS DPR RI Menolak UU Cipta kerja sudah ingatkan bahwa dalam penyusunan harus cermat melibatkan banyak stakeholder dan seksama,true
2021-11-25 10:20:09+00:00,bungfrankz,Saat Kapolres Jakpus Murka Perwira Polisi Dikeroyok Pemuda Pancasila,true
2021-11-25 10:20:02+00:00,voidotid,inilah masterplan percepatan pembangunan pulau sumba ntt,true
2021-11-25 10:20:02+00:00,katadatacoid,Menko Perekonomian Airlangga Hartarto memastikan pemerintah akan mematuhi putusan Mahkamah Konstitusi MK untuk memperbaiki UU Cipta Kerja,true
2021-11-25 10:20:01+00:00,b3y31,hadapi pemilu 2024 demokrat surabaya gelar sekolah politik,true
2021-11-25 10:19:59+00:00,wpunchh,Mendagri Tegur Pemda yang Serapan Belanjanya Masih Rendah,true
2021-11-25 10:19:43+00:00,satriawaniwan20,PAN Dukung MUI Jakarta Bentuk Cyber Army Lawan Hoax,true
2021-11-25 10:19:33+00:00,arga_wisastra,MK Menyatakan UU Cipta Kerja Bertentangan dengan UUD 1945,true
2021-11-25 10:19:26+00:00,marizcimenda,Ketua DPRD DKI Jakarta Prasetio Edi Marsudi meminta agar Presiden Joko Widodo tak dilibatkan dalam penentuan sirkuit Formula E Dia menuding sejumlah pihak telah mendompleng nama Jokowi untuk melancarkan balap Formula E di Ibu Kota,true
2021-11-25 10:19:16+00:00,terbucinz,strategi erick thohir bantu pengusaha kecil naik kelas,true
2021-11-25 10:19:14+00:00,antaralampung,anies sebut lokasi formula bukan ditentukan oleh presiden jokowi,true
2022-06-06 02:05:03+00:00,voidotid,Dewan Eropa menuntut Austria menarik 'peta Islam' yang kontroversial itu. Publikasi peta itu memusuhi umat Islam dan berpotensi kontraproduktif kata badan hak asasi manusia Eropa dalam sebuah pernyataan,true
2022-06-06 02:05:05+00:00,AyuRahm01593918,Nasib PPKM bakal ditentukan hari ini. Beberapa ahli menilai kebijakan ini sudah aman dicabut bagaimana tren perkembangan kasus COVID-19 dua pekan terakhir,true
2022-06-06 02:05:22+00:00,AhmadSet1975,Formula E Jakarta tuntas digelar di Sirkuit Ancol. Gubernur DKI Jakarta Anies Baswedan mempersembahkan gelaran internasional ini untuk Ibu Pertiwi,true
2022-06-06 02:05:41+00:00,PemkotaBlitar,Dinas Ketahanan Pangan dan Pertanian Kota Blitar Gelar Sosialisasi Antisipasi PMK Bagi Peternak,true
2022-06-06 02:05:48+00:00,DewiOzza,Buat Desa Maju Merata Ganjar Minta kades lakukan ini Dalam kesempatan itu Ganjar mendorong transformasi desa mandiri dan sejahtera,true
2022-06-06 02:06:58+00:00,WellToto,Tak hanya kehilangan jenderal karena tewas Rusia juga kehilangan sejumlah jenderal akibat dipecat oleh Presiden Putin terkait dengan tidak mulusnya invasi di Ukraina sejauh ini,true
2022-06-06 02:07:21+00:00,Beritadotnews,Pemkot Makassar Protes Kemendagri Naikkan PPKM ke Level 3,true
2022-06-06 02:07:45+00:00,detikfinance,Dengan adanya keputusan itu maka ASN terdiri atas dua jenis antara lain PNS dan PPPK. Tenaga honorer akan dihapuskan dan diganti dengan sistem outsourcing,true
2022-06-06 02:08:45+00:00,amannadhir,Pemerintah diminta beri kepastian 193.954 guru lulus P3K tapi belum dapat formasi,true
2022-06-06 02:09:20+00:00,willysinggih,PT Taman Wisata Candi mengatakan untuk tiket naik ke candi seharga Rp5 ribu per pelajar hanya bisa dipesan secara reservasi melalui pihak sekolah Bagi perorangan meskipun seorang pelajar tetap akan dikenakan harga tiket wisatawan lokal yaitu Rp750 ribu,true
2022-06-06 02:09:30+00:00,ankmahpa,Sebuah Alphard berpelat RFZ menerobos jalur CFD di Bundaram HI Jakarta Pusat tadi pagi. Sopir mobil nekat melitas meski sudah dihalau oleh petugas,true
2022-06-06 02:09:48+00:00,Striani4,Komika dan sutradara Ernest Prakasa menjadi sorotan publik setelah mengunggah sebuah cuitan di akun twitternya ernestprakasa pada Minggu (5/6/2022),true
2022-06-22 23:59:39+00:00,JengkolMayo,RKUHP: Orang Demonstrasi Tanpa Izin Dipenjara 1 Tahun,clickbait
2022-06-22 23:59:38+00:00,AANGMANCHUNIAN,GP Ansor DKI menyayangkan nama Nabi Muhammad disandingkan dengan alkohol,true
2022-06-22 23:59:33+00:00,wow_keren,Bank Dunia Sebut Stimulus Ekonomi Makro Indonesia Berhasil Memitigasi Dampak Pandemi COVID-19,true
2022-06-22 23:59:26+00:00,elangnusantar4,Komjak Puji Kekompakan Erick Thohir dan Kejaksaan dalam Bersih-Bersih BUMN,true
2022-06-22 23:59:24+00:00,detikcom,Larangan warga di Jakarta Barat (Jakbar) untuk memberi makan kucing liar menjadi kontroversi. Polemik tersebut rencananya diselesaikan lewat mediasi,true
2022-06-22 23:59:00+00:00,cintalamaseroja,Ratusan Relawan Indonesia Tageh Deklarasi LaNyalla The Next President,true
2022-06-22 23:58:41+00:00,ayiekkresna,Pimpinan pondok pesantren (ponpes) di Kabupaten Subang DAN (45) ditangkap karena diduga memperkosa ABG yang juga merupakan muridnya,true
2022-06-22 23:58:27+00:00,Thanmust,Senjata api yang menyebabkan anak Buya Arrazy Hasyim meninggal karena tertembak milik anggota Polri. Anggota Polri itu kini ditarik kembali ke Mabes Polri,true
2022-06-22 23:58:20+00:00,LstwnA,KPK dan Indonesia Corruption Watch (ICW) mengadakan pertemuan untuk berdiskusi soal upaya pemberantasan korupsi hingga vonis hukuman dalam perkara korupsi,true
2022-06-22 23:57:42+00:00,_ikhwanyan,Narapidana pengendali penyelundupan narkoba sebesar 92 kg sabu Muhammad Sulton divonis bebas oleh PN Tanjungkarang. Padahal Sulton dituntut mati,true
2022-06-22 23:56:56+00:00,kantahkotbitung,Menteri ATR/Kepala BPN: Sesuai Perintah Presiden PTSL agar Dipercepat,true
2022-06-22 23:56:41+00:00,okezonenews,Misteri Kedung di Sungai Bengawan Solo Keramat dan Kerap Terjadi Kecelakaan,clickbait
2022-06-22 23:56:39+00:00,NegaraPena,KPK menghadiri Rapat Dengar Pendapat Program Pemberantasan Korupsi Terintegrasi Aparat Penegak Hukum Provinsi Sumatera Barat,true
2022-06-22 23:56:37+00:00,riauaktual,Konferprov PWI Pemprov Riau Ajak Insan Pers Tangkis Berita Hoax,true
2022-06-22 23:56:28+00:00,CahWaras11,PW Ansor DKI: Holywings Harus Segera Minta Maaf ke Ummat,true
2022-06-22 23:55:43+00:00,Harimauterakhi2,Senjata api yang menyebabkan anak Buya Arrazy Hasyim meninggal karena tertembak milik anggota Polri. Anggota Polri itu kini ditarik kembali ke Mabes Polri,true
2022-06-22 23:54:48+00:00,detikfinance,Mantan Mendag Muhammad Lutfi dipanggil oleh Kejaksaan Agung sebagai saksi atas kasus dugaan korupsi pemberian fasilitas ekspor CPO atau minyak goreng,true
2022-06-22 23:54:41+00:00,republikaonline,Terungkap bahwa yang membuang sisa material tersebut adalah warga sekitar,true
2022-06-22 23:54:27+00:00,viskaya,Harga daging sapi tengah mengalami anomali. Harganya masih terpantau tinggi meski permintaannya tak begitu tinggi. Pedagang pun meringis pedih,true
